购	2206	0.0142
缩	2204	0.0142
盐	2201	0.0142
冬	2188	0.0141
齐	2187	0.0141
径	2185	0.0141
偏	2182	0.014
盖	2179	0.014
款	2174	0.014
衡	2169	0.0139
阻	2165	0.0139
托	2164	0.0139
喊	2164	0.0139
繁	2163	0.0139
纯	2154	0.0139
牙	2154	0.0139
殊	2153	0.0138
浪	2143	0.0138
招	2141	0.0138
符	2136	0.0137
折	2130	0.0137
泽	2130	0.0137
弄	2123	0.0137
奶	2112	0.0136
谢	2106	0.0135
累	2105	0.0135
亦	2102	0.0135
厚	2100	0.0135
朋	2094	0.0135
伸	2087	0.0134
筑	2081	0.0134
闪	2079	0.0134
枝	2073	0.0133
授	2071	0.0133
蛋	2071	0.0133
潮	2070	0.0133
登	2069	0.0133
售	2068	0.0133
孔	2063	0.0133
街	2052	0.0132
败	2048	0.0132
迎	2044	0.0131
肥	2028	0.013
恩	2027	0.013
尼	2021	0.013
幼	2016	0.013
惯	2015	0.013
钢	2011	0.0129
肯	2009	0.0129
矿	2007	0.0129
岛	2005	0.0129
伟	2004	0.0129
粉	2004	0.0129
振	2002	0.0129
吴	2000	0.0129
夺	1995	0.0128
尤	1995	0.0128
忘	1994	0.0128
荣	1993	0.0128
亡	1991	0.0128
阴	1991	0.0128
凡	1989	0.0128
毕	1988	0.0128
暴	1987	0.0128
唐	1984	0.0128
勇	1980	0.0127
避	1975	0.0127
麻	1969	0.0127
股	1967	0.0127
硬	1967	0.0127
洞	1964	0.0126
盘	1961	0.0126
轮	1960	0.0126
警	1957	0.0126
闹	1957	0.0126
录	1955	0.0126
绍	1955	0.0126
描	1955	0.0126
寻	1953	0.0126
妹	1952	0.0126
幸	1948	0.0125
壁	1947	0.0125
距	1946	0.0125
玩	1935	0.0124
休	1935	0.0124
延	1932	0.0124
综	1924	0.0124
甲	1922	0.0124
泛	1922	0.0124
哲	1921	0.0124
载	1911	0.0123
雷	1907	0.0123
窗	1906	0.0123
虚	1897	0.0122
秘	1896	0.0122
俗	1896	0.0122
倾	1894	0.0122
哭	1894	0.0122
禁	1894	0.0122
零	1893	0.0122
触	1893	0.0122
巧	1887	0.0121
圈	1886	0.0121
努	1885	0.0121
喝	1881	0.0121
彻	1879	0.0121
晶	1878	0.0121
丁	1874	0.0121
操	1873	0.012
奴	1866	0.012
宜	1865	0.012
菌	1865	0.012
叔	1859	0.012
桥	1853	0.0119
仿	1851	0.0119
默	1846	0.0119
航	1846	0.0119
谷	1844	0.0119
泪	1844	0.0119
予	1835	0.0118
挂	1829	0.0118
壮	1826	0.0117
纷	1826	0.0117
粒	1818	0.0117
燃	1815	0.0117
诸	1813	0.0117
削	1804	0.0116
苗	1804	0.0116
婆	1804	0.0116
付	1801	0.0116
迷	1799	0.0116
馆	1794	0.0115
灰	1786	0.0115
鸡	1779	0.0114
岸	1777	0.0114
寒	1776	0.0114
泥	1774	0.0114
梅	1772	0.0114
残	1769	0.0114
税	1768	0.0114
虎	1766	0.0114
庆	1763	0.0113
抱	1757	0.0113
鸟	1755	0.0113
拍	1755	0.0113
墙	1754	0.0113
缓	1753	0.0113
横	1753	0.0113
尾	1750	0.0113
督	1750	0.0113
